Unique ID,Psychological Assessment,Physical Assessment
1,"Highly Creative And Imaginative Practical, hands-on approach to tasks Adaptable, flexible, and open to change Practical, hands-on approach to tasks.","Youthful Appearance With Vibrant Energy Youthful appearance with vibrant energy Petite frame with graceful movements Muscular and robust, adept at physical tasks Shorter stature with a sturdy build Muscular and robust, adept at physical tasks Athletic build with strong endurance."
2,"Extroverted, Energetic, And Sociable Practical, hands-on approach to tasks Introverted, reserved, and thoughtful Driven, ambitious, and goal-oriented Highly creative and imaginative Curious, inquisitive, and eager to learn.","Slender And Agile With Quick Reflexes Petite frame with graceful movements Shorter stature with a sturdy build Average build, maintaining a balanced physique Tall stature with broad shoulders."
3,"Strategic Thinker With Strong Planning Skills Extroverted, energetic, and sociable Detail-oriented, analytical, and methodical Practical, hands-on approach to tasks Highly creative and imaginative Adaptable, flexible, and open to change Adaptable, flexible, and open to change.",Tall Stature With Broad Shoulders Slender and agile with quick reflexes Athletic build with strong endurance Slender and agile with quick reflexes Petite frame with graceful movements.
4,"Introverted, Reserved, And Thoughtful Detail-oriented, analytical, and methodical Strategic thinker with strong planning skills Adaptable, flexible, and open to change Strategic thinker with strong planning skills Highly creative and imaginative.","Average Build, Maintaining A Balanced Physique Youthful appearance with vibrant energy Rugged looks with a durable constitution Petite frame with graceful movements."
5,"Extroverted, Energetic, And Sociable Highly creative and imaginative Detail-oriented, analytical, and methodical Highly creative and imaginative Empathetic, compassionate, and supportive.","Petite Frame With Graceful Movements Slender and agile with quick reflexes Tall stature with broad shoulders Slender and agile with quick reflexes Average build, maintaining a balanced physique Muscular and robust, adept at physical tasks Shorter stature with a sturdy build."
6,"Driven, Ambitious, And Goal-Oriented Adaptable, flexible, and open to change Highly creative and imaginative.",Tall Stature With Broad Shoulders Tall stature with broad shoulders Slender and agile with quick reflexes Slender and agile with quick reflexes Tall stature with broad shoulders Tall stature with broad shoulders.
7,"Practical, Hands-On Approach To Tasks Practical, hands-on approach to tasks Adaptable, flexible, and open to change Extroverted, energetic, and sociable Extroverted, energetic, and sociable.",Slender And Agile With Quick Reflexes Slender and agile with quick reflexes Slender and agile with quick reflexes Rugged looks with a durable constitution.
8,"Empathetic, Compassionate, And Supportive Strategic thinker with strong planning skills Extroverted, energetic, and sociable Curious, inquisitive, and eager to learn Curious, inquisitive, and eager to learn Introverted, reserved, and thoughtful Extroverted, energetic, and sociable Highly creative and imaginative.","Shorter Stature With A Sturdy Build Rugged looks with a durable constitution Youthful appearance with vibrant energy Muscular and robust, adept at physical tasks Youthful appearance with vibrant energy."
9,"Adaptable, Flexible, And Open To Change Empathetic, compassionate, and supportive Strategic thinker with strong planning skills Strategic thinker with strong planning skills Practical, hands-on approach to tasks Strategic thinker with strong planning skills Empathetic, compassionate, and supportive.","Shorter Stature With A Sturdy Build Average build, maintaining a balanced physique Rugged looks with a durable constitution Elegant posture and poised demeanor Tall stature with broad shoulders Tall stature with broad shoulders Average build, maintaining a balanced physique."
10,"Curious, Inquisitive, And Eager To Learn Practical, hands-on approach to tasks Driven, ambitious, and goal-oriented Detail-oriented, analytical, and methodical Introverted, reserved, and thoughtful Driven, ambitious, and goal-oriented Introverted, reserved, and thoughtful.",Shorter Stature With A Sturdy Build Rugged looks with a durable constitution Slender and agile with quick reflexes Elegant posture and poised demeanor Athletic build with strong endurance Tall stature with broad shoulders.
